varmegye_kod,varmegye,oevk,telepules_kod,telepules,tevk,szavazokor,szavazokor_cim,iranyitoszam,pir,kijelolt,akadalymentes,szavazokor_id,oevk_id
04,BÉKÉS,01,037,Kondoros,,002,Iskola u. 2. (Iskola),5553,5553,N,N,04-037-002,04-01
04,BÉKÉS,01,037,Kondoros,,003,Hősök tere 4-5. (Házasságkötő terem),5553,5553,N,I,04-037-003,04-01
04,BÉKÉS,01,037,Kondoros,,004,Hősök útja 36. (Iskola - ebédlő),5553,5553,N,N,04-037-004,04-01
04,BÉKÉS,01,037,Kondoros,,005,Csabai u. 25. (Óvoda),5553,5553,N,N,04-037-005,04-01
04,BÉKÉS,01,037,Kondoros,,006,Iskola utca 2/6. (Sportcsarnok),5553,5553,N,N,04-037-006,04-01
04,BÉKÉS,01,037,Kondoros,,007,Hősök útja 36. (Iskola-tanterem),5553,5553,N,N,04-037-007,04-01
04,BÉKÉS,02,038,Körösladány,,001,Petőfi tér 2. (Művelődési Ház),5516,5516,N,I,04-038-001,04-02
04,BÉKÉS,02,038,Körösladány,,002,Arany János utca 5. (Városi Óvoda),5516,5516,N,I,04-038-002,04-02
04,BÉKÉS,02,038,Körösladány,,003,Petőfi tér 5. (Városi Könyvtár),5516,5516,N,N,04-038-003,04-02
04,BÉKÉS,02,038,Körösladány,,004,Wenckheim Béla utca 1.(Kőrösi János Ref.Ált.Isk.),5516,5516,N,I,04-038-004,04-02
04,BÉKÉS,03,039,Körösnagyharsány,,001,Rákóczi utca 42. (Általános Iskola),5539,5539,N,I,04-039-001,04-03
04,BÉKÉS,02,040,Köröstarcsa,,001,Kossuth u. 18. (Művelődési Ház és Könyvtár),5622,5622,N,I,04-040-001,04-02
04,BÉKÉS,02,040,Köröstarcsa,,002,Kossuth u. 39. (Önkormányzati Konyha),5622,5622,N,I,04-040-002,04-02
04,BÉKÉS,02,040,Köröstarcsa,,003,Kossuth u. 41/a. (Óvoda),5622,5622,N,I,04-040-003,04-02
04,BÉKÉS,03,041,Körösújfalu,,001,Fő u. 14. (Községháza),5536,5536,N,I,04-041-001,04-03
04,BÉKÉS,03,042,Kötegyán,,001,Kossuth u. 26. (Óvoda),5725,5725,N,I,04-042-001,04-03
04,BÉKÉS,03,042,Kötegyán,,002,Kossuth u. 48-50. (Közösségi Tér),5725,5725,N,I,04-042-002,04-03
04,BÉKÉS,04,043,Kunágota,,001,Rákóczi u. 11. (Központi Iskola),5746,5746,N,I,04-043-001,04-04
04,BÉKÉS,04,043,Kunágota,,002,Rákóczi u. 11. (Központi Iskola),5746,5746,N,I,04-043-002,04-04
04,BÉKÉS,04,043,Kunágota,,003,Rákóczi u. 73. (Óvoda),5746,5746,N,I,04-043-003,04-04
04,BÉKÉS,04,044,Lőkösháza,,001,Alapítók útja 17-19. (Kultúrház),5743,5743,N,I,04-044-001,04-04
04,BÉKÉS,04,044,Lőkösháza,,002,Alapítók útja 22. (I. sz. Általános Iskola),5743,5743,N,N,04-044-002,04-04
04,BÉKÉS,04,045,Magyarbánhegyes,,001,Kossuth u. 56.,5667,5667,N,I,04-045-001,04-04
04,BÉKÉS,04,045,Magyarbánhegyes,,002,Árpád u. 1.,5667,5667,N,I,04-045-002,04-04
04,BÉKÉS,04,045,Magyarbánhegyes,,003,Aradi utca 21.,5667,5667,N,N,04-045-003,04-04
04,BÉKÉS,04,046,Magyardombegyház,,001,Nagy u. 61.,5838,5838,N,I,04-046-001,04-04
04,BÉKÉS,04,047,Medgyesbodzás,,001,Széchenyi u. 45.,5663,5663,N,I,04-047-001,04-04
