source,target,kozos_hatar_m
N000045,N000092,4350.729
N000045,N000259,4598.809
N000046,N000212,923.139
N000046,N003785,7214.069
N000046,N000144,5940.732
N000047,N000261,4302.377
N000047,N000183,3538.739
N000047,N000210,386.275
N000047,N000236,890.847
N000047,N000239,1739.835
N000047,N000267,3699.527
N000048,N000107,4001.617
N000048,N000092,3811.948
N000048,N000051,84.061
N000048,N000259,2473.208
N000049,N000246,7118.998
N000049,N000131,5638.448
N000049,N000116,2221.646
N000049,N000227,1317.942
N000050,N000256,3932.103
N000050,N000108,3450.197
N000050,N000226,3763.145
N000050,N000097,42.025
N000050,N000261,6014.956
N000051,N000107,1872.441
N000051,N000194,5747.156
N000051,N000092,8389.561
N000051,N000102,4054.642
N000052,N000061,2224.867
N000052,N000223,5090.257
N000052,N000170,3198.015
N000052,N000247,5039.599
N000052,N000091,1742.98
N000053,N000058,4889.976
N000053,N000273,3302.669
N000053,N000054,2696.378
N000053,N000137,2073.543
N000053,N000061,878.895
N000054,N000273,2244.637
N000054,N000116,1105.508
N000054,N000061,3238.835
N000054,N000059,662.429
N000054,N000223,1887.855
N000055,N000164,5189.442
N000055,N000075,3777.659
N000055,N001986,8386.834
N000055,N000270,2108.114
N000056,N000062,5163.737
N000056,N000240,4514.857
N000056,N000057,1646.189
N000056,N000231,3922.557
N000057,N000062,4206.885
N000057,N000164,3150.092
N000057,N000075,1766.197
N000058,N000060,5512.108
N000058,N000137,1341.069
N000059,N000116,3781.624
N000059,N000223,2986.14
N000059,N000140,2519.899
N000060,N000081,8135.973
N000060,N000104,1622.572
N000060,N000137,1185.157
N000061,N000137,3931.817
N000061,N000223,1980.585
N000061,N000170,828.222
N000062,N000296,4974.962
N000062,N000240,1639.814
N000063,N000209,3472.335
N000063,N000292,248.536
N000063,N000235,2704.307
N000063,N000180,450.618
N000063,N000326,9352.717
N000063,N002350,9489.047
N000063,N002352,3225.683
N000064,N000295,42.028
N000064,N000266,5318.686
N000064,N000126,4901.99
N000064,N000214,341.959
N000064,N000218,3578.904
N000064,N000151,1151.051
N000064,N000254,2798.62
N000064,N000139,1903.902
N000065,N000200,6111.93
N000065,N000234,1768.663
N000065,N000232,3590.999
N000065,N000125,421.053
N000066,N000090,2548.138
N000066,N000276,2151.753
N000066,N002379,640.513
N000066,N000249,4116.79
N000066,N000187,2413.719
N000066,N002404,174.613
N000066,N000176,5097.839
N000067,N000089,1866.674
N000067,N000159,2921.038
N000067,N000225,3214.061
N000067,N000213,1804.794
N000068,N000165,2728.548
N000068,N000270,2656.677
N000068,N000256,1262.434
N000069,N000163,1877.57
N000069,N000095,5390.983
N000069,N000078,1060.444
N000069,N000130,3421.767
N000069,N000150,3135.804
N000070,N000078,3323.097
N000070,N000072,485.493
N000070,N000152,3749.705
N000070,N000073,8205.619
N000070,N000205,3116.103
N000070,N000174,2419.004
N000071,N000115,4096.0
N000071,N000262,4109.834
N000071,N000072,338.972
N000071,N000191,2458.199
N000071,N000219,2949.403
N000071,N000112,514.519
N000071,N000253,2294.66
N000072,N000115,4033.95
N000072,N000078,4235.18
N000072,N000191,1562.437
N000072,N000152,2555.31
N000073,N000078,3213.352
N000073,N000268,410.888
N000073,N000251,2821.605
N000073,N000292,4971.449
N000073,N000205,2955.009
N000074,N000202,2546.617
N000074,N000283,4276.759
N000074,N000229,3380.801
N000074,N000287,3076.379
N000075,N000164,2287.515
N000075,N002080,3311.478
