source,target,kozos_hatar_m
N000888,N000901,9729.97
N000889,N000901,26556.642
N000889,N001450,3830.389
N000889,N001435,9746.227
N000891,N000895,10716.409
N000891,N000904,467.923
N000892,N000897,8211.423
N000894,N000897,6646.785
N000895,N000904,6462.833
N000896,N003960,3396.906
N000896,N003917,7159.338
N000897,N000907,7756.829
N000897,N000906,8387.406
N000898,N003954,959.65
N000898,N003933,1025.928
N000898,N003934,2121.824
N000898,N000899,6904.508
N000899,N000908,6415.34
N000899,N003952,13141.948
N000900,N000901,14033.477
N000901,N001443,509.55
N000901,N001450,4638.072
N000901,N001435,9136.931
N000903,N000905,10038.127
N000903,N003960,3387.27
N000905,N003961,11252.384
N000905,N003960,1332.544
N000906,N000907,1461.988
N000908,N003963,4951.926
N000909,N000989,8539.902
N000909,N000995,5460.891
N000909,N000991,2031.479
N000909,N000930,3370.769
N000909,N001003,7623.532
N000909,N000994,11672.165
N000909,N004001,5204.48
N000910,N000984,1158.427
N000910,N000956,5661.82
N000910,N000980,9397.507
N000910,N001764,2875.839
N000910,N001761,4156.492
N000910,N000982,7095.772
N000910,N000947,6365.731
N000910,N001803,1373.362
N000911,N000913,7883.678
N000911,N000933,1545.878
N000911,N000971,5925.517
N000911,N000924,4873.567
N000911,N000986,11660.283
N000912,N001008,2862.99
N000912,N000942,5874.602
N000912,N000936,14371.009
N000912,N001011,3890.965
N000912,N001002,11347.019
N000912,N001012,2317.221
N000912,N000923,458.014
N000912,N000938,8689.541
N000912,N000921,6441.697
N000913,N002421,7348.666
N000913,N002367,2100.58
N000913,N000933,4989.731
N000913,N000924,4396.398
N000914,N002858,960.547
N000914,N000946,3672.609
N000914,N002751,2814.215
N000914,N000916,13299.925
N000914,N002845,6038.607
N000914,N000973,3413.822
N000914,N001533,5353.448
N000915,N000929,1843.544
N000915,N002870,5773.383
N000915,N000946,7495.988
N000916,N000937,1122.113
N000916,N000922,9720.396
N000916,N000946,12273.732
N000916,N000973,1377.128
N000917,N002367,3779.666
N000917,N001015,7056.658
N000917,N000953,5198.628
N000917,N000964,7719.601
N000917,N000932,3725.991
N000917,N000974,6205.389
N000918,N000920,4492.42
N000918,N000935,2041.147
N000918,N000951,9151.639
N000918,N000985,6266.582
N000918,N000949,4510.359
N000918,N000961,2814.6
N000919,N000947,3717.969
N000919,N000920,4090.55
N000919,N000935,3909.413
N000920,N000982,5707.575
N000920,N000947,1401.698
N000920,N001009,2337.838
N000920,N000935,5847.086
N000920,N000951,3523.854
N000921,N000936,3787.918
N000921,N000938,4153.542
N000921,N000976,15120.034
N000921,N000962,7006.856
N000921,N000925,12214.28
N000921,N001542,4749.283
N000921,N001540,6069.786
N000922,N000937,7000.981
N000922,N000996,2488.107
N000922,N000973,776.154
N000922,N000928,1821.537
N000922,N000969,11481.202
N000923,N001012,4499.569
N000923,N000938,2331.682
N000923,N001001,4860.751
N000924,N002425,3599.178
N000924,N001007,8234.361
N000924,N002354,2099.907
N000924,N002421,5026.337
N000924,N000987,7489.041
N000924,N000986,3434.563
N000925,N000962,4301.203
N000925,N001540,2185.274
N000925,N001507,3513.167
N000926,N000960,7302.747
N000926,N000996,3182.652
N000926,N001013,5357.681
N000926,N000928,3793.037
N000926,N000969,901.095
N000926,N000940,6968.954
N000926,N000983,2571.378
N000927,N000978,3947.894
N000927,N000959,7514.797
N000927,N001013,5316.133
N000927,N001011,4987.87
N000927,N000940,14854.024
N000927,N001012,8658.965
N000928,N000996,1484.108
N000928,N000969,7828.409
N000929,N000975,1275.07
N000929,N000990,4108.484
N000929,N000993,4446.853
N000929,N003997,1206.165
N000929,N002870,6294.103
N000929,N000945,9863.751
N000930,N000981,2891.02
N000930,N000995,8830.389
N000930,N001003,8029.937
N000931,N000957,8070.96
N000931,N000963,4150.422
N000931,N000954,2298.83
N000931,N000967,8136.074
N000931,N000986,6716.493
N000931,N000950,1875.876
N000932,N000953,6695.743
N000932,N000974,6601.083
N000932,N000984,6824.121
N000933,N002367,7623.952
N000933,N001015,5986.351
N000933,N000971,7193.839
N000933,N000964,162.229
N000934,N001000,2141.232
N000934,N000957,5171.615
N000934,N000965,7767.89
N000934,N000963,4882.567
N000934,N001874,1462.073
N000934,N001886,10067.55
N000934,N002117,3777.502
N000934,N000958,10315.16
N000934,N002695,42.026
N000935,N000947,3813.785
N000935,N001803,7570.78
N000935,N001819,4299.102
N000935,N001814,1364.005
N000935,N000985,10399.395
N000935,N001809,7878.588
N000936,N000942,3663.894
N000936,N001800,2338.312
N000936,N001806,1286.433
N000936,N001695,6684.682
N000936,N000962,2604.563
N000936,N001735,4393.442
N000937,N000945,1815.194
N000937,N000968,704.154
N000937,N000988,859.875
N000937,N000952,4850.294
N000937,N000960,5022.847
N000937,N000996,3425.545
N000937,N000946,5145.302
N000938,N001001,3307.333
N000938,N001005,1067.111
N000938,N000976,3718.785
N000939,N002714,3541.494
N000939,N000958,2380.632
N000939,N002695,5928.212
N000939,N000981,7848.848
N000939,N000948,1594.9
N000939,N002819,2938.125
N000939,N000975,554.569
N000940,N001013,6377.971
N000940,N000983,671.828
N000940,N001528,13070.681
N000940,N001012,2043.202
N000940,N001548,7041.688
N000940,N001001,3899.162
N000940,N001550,133.544
N000941,N000994,9182.831
N000941,N004001,2649.188
N000941,N000977,5710.18
N000941,N000997,4194.234
N000941,N001014,3040.916
N000941,N000982,4382.483
N000941,N001009,9876.964
N000942,N001004,6995.627
N000942,N001008,5024.965
N000942,N001835,187.913
N000942,N001800,4612.121
N000943,N000964,9483.159
N000943,N000980,3494.095
N000943,N000972,7010.348
N000943,N000991,5444.057
N000944,N002426,2155.803
N000944,N002445,6370.475
N000944,N002432,7330.018
N000944,N002422,5931.449
N000944,N000987,1504.038
N000944,N000967,11018.646
N000945,N003997,2810.423
N000945,N000968,8552.208
N000945,N000952,5841.624
N000945,N000946,3166.935
N000946,N002870,6374.765
N000946,N002858,5176.84
N000946,N000952,6294.823
N000947,N000982,7248.435
N000947,N001803,2068.331
N000948,N000981,7279.244
N000948,N001006,305.517
N000948,N000975,7371.51
N000949,N000951,2765.906
N000949,N000961,1976.236
N000949,N001004,3504.977
N000949,N001008,4736.952
N000949,N000979,2344.14
N000950,N000954,9379.21
N000950,N000986,10553.332
N000950,N000992,3820.161
N000950,N000989,4318.733
N000950,N000995,4852.475
N000951,N001009,10762.971
N000951,N000970,1083.62
N000951,N000979,12130.492
N000954,N000963,13797.884
N000954,N000966,6359.418
N000954,N000995,10292.373
N000955,N000981,5880.701
N000955,N000998,8227.394
N000956,N000984,9812.671
N000956,N001764,4401.472
N000957,N002422,13811.905
N000957,N002374,2998.418
N000957,N000965,14815.55
N000957,N000963,3953.397
N000957,N000967,10180.889
N000958,N000963,1772.248
N000958,N000966,12110.856
N000958,N002695,8415.717
N000958,N000981,881.709
N000959,N000977,3279.991
N000959,N000997,1194.226
N000959,N000970,1943.083
N000959,N000978,8760.824
N000959,N000979,2065.422
N000959,N001010,4779.941
N000959,N001011,4237.862
N000960,N000988,4049.827
N000960,N000996,2921.898
N000960,N001013,4526.883
N000961,N000985,7222.009
N000961,N001004,6006.24
N000961,N001835,2449.897
N000961,N001722,2103.965
N000962,N001507,5466.416
N000962,N001867,9980.779
N000962,N001537,926.045
N000963,N000966,2791.006
N000964,N001015,5415.694
N000964,N000971,12553.629
N000964,N000974,10545.826
N000964,N000980,1613.508
N000964,N000986,5550.779
N000964,N000972,330.29
N000965,N002374,2066.809
N000965,N001000,7823.216
N000966,N000981,6116.753
N000966,N000995,1923.45
N000967,N002422,1970.744
N000967,N000987,60.41
N000967,N000986,8109.087
N000968,N003997,1844.401
N000968,N000988,5039.499
N000969,N000973,6437.493
N000969,N000983,14093.783
N000969,N001478,2439.569
N000969,N001487,5255.066
N000969,N001494,6039.007
N000970,N000997,2290.284
N000970,N001009,2228.649
N000970,N000979,3468.765
N000971,N000986,2437.558
N000972,N000986,6728.516
N000972,N000992,8632.257
N000972,N000989,2236.118
N000972,N000991,1857.142
N000973,N001533,1944.683
N000973,N001478,2134.015
N000974,N000984,3299.015
N000974,N000980,6923.065
N000975,N001006,1073.242
N000975,N002819,8241.356
N000975,N000990,5767.092
N000975,N002870,2474.681
N000976,N001005,3289.933
N000976,N001536,5653.1
N000976,N001542,84.742
N000977,N004001,3300.634
N000977,N003982,5767.066
N000977,N000997,7073.925
N000977,N003970,3638.338
N000977,N000978,3615.081
N000978,N003970,10628.658
N000978,N001013,4911.519
N000979,N001010,5390.832
N000980,N000984,2741.071
N000980,N000999,14122.368
N000980,N000991,1748.884
N000980,N000982,3254.504
N000981,N000998,6764.491
N000981,N001006,785.8
N000981,N000995,2585.017
N000981,N001003,5391.767
N000982,N000999,3003.309
N000982,N001014,4775.863
N000982,N001009,3344.119
N000983,N001528,7436.286
N000983,N001492,7921.679
N000983,N001494,4536.445
N000984,N001764,2558.163
N000985,N001809,1287.925
N000985,N001722,1740.606
N000986,N000987,9125.896
N000986,N000992,13589.511
N000987,N002425,84.732
N000987,N002432,7196.497
N000988,N003997,1727.264
N000988,N003983,1012.464
N000988,N003968,364.529
N000988,N003970,230.096
N000988,N003972,2110.253
N000988,N001013,4050.658
N000989,N000992,8820.486
N000989,N000995,951.608
N000989,N000991,5918.086
N000990,N001006,1767.676
N000990,N000993,6702.315
N000991,N000999,5115.829
N000991,N000994,6608.125
N000993,N000998,3505.057
N000993,N001006,4928.74
N000993,N003964,3121.01
N000993,N003997,1282.42
N000994,N000999,5637.452
N000994,N004001,5784.791
N000994,N001014,3223.966
N000997,N001009,2631.677
N000998,N001006,11094.848
N000998,N001003,6847.177
N000998,N003964,5974.191
N000999,N001014,5674.102
N001000,N002406,3477.057
N001000,N002374,5898.262
N001000,N002003,4825.565
N001000,N001874,6060.304
N001001,N001012,3819.752
N001001,N001005,1225.365
N001001,N001536,12336.517
N001001,N001550,2855.522
N001002,N001008,6007.001
N001002,N001011,4121.982
N001003,N003975,3039.056
N001003,N003964,1970.611
N001004,N001008,849.903
N001004,N001835,2327.302
N001005,N001536,510.211
N001007,N002425,9551.12
N001007,N002354,5854.666
N001008,N001010,4796.226
N001008,N001011,2085.112
N001010,N001011,3602.441
N001011,N001012,2085.662
N001013,N003970,3643.217
N001015,N002367,5594.696
N001016,N004052,579.718
N001016,N001090,4968.425
N001016,N004039,124.026
N001016,N001033,5677.928
N001016,N004041,3574.894
N001016,N001080,1394.882
N001016,N001104,3292.6
N001016,N001081,3011.53
N001016,N001130,2749.879
N001017,N001042,11356.353
N001017,N001035,4138.862
N001018,N001064,6917.89
N001018,N001192,8951.738
N001018,N001095,2657.054
N001018,N001063,5326.842
N001019,N001164,25444.157
N001020,N001162,1853.066
N001020,N001121,11132.62
N001020,N001053,5870.962
N001020,N001152,1843.6
N001020,N001097,274.177
N001020,N001031,2283.95
N001020,N001148,917.642
N001021,N001081,3104.298
N001021,N001048,8624.898
N001021,N001049,64.28
N001021,N001114,1046.095
N001021,N001086,10028.028
N001021,N001108,7315.824
N001022,N001100,3283.242
N001022,N001032,3525.812
N001022,N001170,2309.694
N001022,N001189,5435.298
N001022,N001095,8567.254
N001023,N001025,3512.321
N001023,N001190,2891.827
N001023,N002736,1862.724
N001023,N001158,2713.833
N001024,N002736,899.981
N001024,N001158,4119.686
N001024,N001105,2189.247
N001024,N001143,3444.105
N001024,N001074,2998.982
N001024,N001174,2195.023
N001025,N002826,749.231
N001025,N002830,5379.203
N001025,N001061,6240.047
N001025,N002688,6830.264
N001025,N001190,4344.375
N001025,N002736,4473.207
N001026,N001045,1814.484
N001026,N001102,3544.757
N001026,N001042,4982.75
N001026,N001110,2489.343
N001026,N001112,2660.904
N001027,N001031,4663.279
N001027,N001148,5707.792
N001027,N001145,2165.424
N001027,N001045,3301.747
N001027,N001102,4810.563
N001028,N001146,3138.123
N001028,N002477,2774.431
N001028,N001052,2425.033
N001028,N001188,3609.112
N001028,N001132,1872.498
N001028,N001044,800.773
N001028,N001037,3821.411
N001028,N001184,4235.956
N001028,N001072,598.496
N001028,N001111,1801.331
N001028,N001117,2478.542
N001029,N001106,91.299
N001029,N001084,8138.562
N001029,N001142,6043.983
N001029,N001118,5471.67
N001029,N001059,2976.968
N001029,N001046,9894.502
N001030,N001102,1457.469
N001030,N001055,10079.952
N001030,N001077,9105.497
N001031,N001097,7326.018
N001031,N001148,2471.116
N001031,N001151,1932.099
N001031,N001145,2620.818
N001032,N001173,2108.682
N001032,N001111,2831.177
N001032,N001117,374.513
N001032,N001167,2257.379
N001032,N001100,2849.329
N001032,N001139,3584.906
N001032,N001093,6931.856
N001032,N001170,5904.085
N001032,N001153,1292.556
N001032,N001057,88.643
N001032,N001042,2826.629
N001033,N001147,6125.713
N001033,N001090,486.816
N001033,N001119,3216.739
N001033,N001130,3768.558
N001034,N001481,928.99
N001034,N001115,2273.778
N001034,N001157,3031.666
N001034,N001180,42.714
N001034,N001137,7922.062
N001034,N001489,5183.043
N001034,N004004,4457.31
N001034,N001125,6934.511
N001035,N001042,10027.015
N001035,N001092,4302.395
N001035,N001110,1766.346
N001035,N001112,1188.67
N001035,N001154,4708.007
N001036,N001112,3740.33
N001036,N001154,2870.415
N001036,N001177,1209.483
N001037,N001044,7127.972
N001037,N001072,4948.153
N001038,N001044,939.211
N001038,N001140,11402.367
N001038,N001088,5230.544
N001038,N001089,273.108
N001038,N001067,5739.475
N001038,N001064,1096.454
N001038,N001192,5034.629
N001039,N001155,2027.609
N001039,N002568,2337.648
N001039,N002661,4167.97
N001039,N001040,2096.909
N001039,N001091,1194.413
N001040,N002568,2324.069
N001040,N002582,653.642
N001040,N001091,3662.804
N001041,N001071,5337.972
N001041,N002783,4397.481
N001041,N001121,5682.227
N001042,N001173,2286.679
N001042,N001133,2458.19
N001042,N001148,1610.842
N001042,N001045,5889.349
N001042,N001153,6095.39
N001042,N001057,18210.803
N001042,N001095,5449.106
N001042,N001129,1629.977
N001042,N001092,6469.897
N001042,N001110,3366.857
N001043,N001086,4974.75
N001043,N001096,6964.296
N001043,N001108,3979.458
N001043,N001047,2221.48
N001043,N001141,1870.637
N001043,N001082,5868.832
N001044,N002614,205.063
N001044,N001155,2324.395
N001044,N002477,5277.571
N001044,N001091,4896.241
N001044,N001140,1515.335
N001044,N001072,5840.176
N001044,N001088,1497.643
N001045,N001148,3382.614
N001045,N001102,1867.585
N001046,N001142,3349.245
N001046,N001082,2259.903
N001046,N001059,2395.638
N001046,N001050,9877.143
N001047,N001108,2867.246
N001047,N001141,733.923
N001047,N001099,2636.054
N001048,N001104,3232.496
N001048,N001075,8839.161
N001048,N001049,3990.151
N001049,N001104,4479.005
N001049,N001130,408.212
N001049,N001114,5202.681
N001050,N001141,3858.181
N001050,N001082,14673.937
N001050,N001099,4870.219
N001051,N001166,42.03
N001051,N001159,3533.586
N001051,N001124,7992.003
N001052,N002597,1559.503
N001052,N001146,2616.123
N001052,N001188,1204.893
N001052,N001132,4930.438
N001053,N001150,510.032
N001053,N001169,2270.243
N001053,N001162,5819.097
N001053,N001144,3776.411
N001053,N001148,3335.696
N001054,N002481,271.032
N001054,N001168,2779.19
N001054,N002647,2349.037
N001054,N001182,4211.832
N001054,N001126,1137.726
N001054,N001165,4578.872
N001054,N001193,1554.638
N001054,N001109,1079.452
N001054,N001070,1058.077
N001055,N001145,4119.791
N001055,N001102,3028.249
N001055,N001147,9483.865
N001055,N001077,3033.13
N001055,N001119,6743.985
N001056,N001131,10517.505
N001056,N001178,4126.715
N001056,N001128,5429.845
N001057,N001093,3352.056
N001057,N001153,5566.394
N001058,N001102,2511.337
N001058,N001112,7192.3
N001058,N001077,6872.723
N001058,N001177,552.591
N001059,N001118,8659.818
N001059,N001082,2802.393
N001060,N001094,5613.768
N001060,N001073,6243.311
N001060,N001179,1231.078
N001060,N001178,4555.94
N001060,N001078,8393.869
N001061,N002680,1674.595
N001061,N002689,10117.844
N001061,N002826,6287.801
N001061,N002830,6371.406
N001062,N001123,1807.957
N001062,N001164,7787.515
N001062,N001087,8068.656
N001063,N001067,2273.887
N001063,N001064,3286.517
N001063,N001095,8599.362
N001063,N001136,1833.935
N001063,N001068,3798.726
N001063,N001160,9922.465
N001064,N001067,7413.156
N001064,N001192,3925.493
N001064,N001136,3781.474
N001065,N001135,1078.301
N001065,N001164,343.925
N001065,N001138,3804.181
N001065,N001085,8910.074
N001065,N001087,8555.359
N001065,N001160,1288.494
N001066,N001164,16734.383
N001067,N001140,188.416
N001067,N001159,8876.943
N001067,N001136,2302.706
N001067,N001085,1558.827
N001067,N001068,2533.996
N001068,N001085,10861.013
N001068,N001160,9414.179
N001069,N004004,932.616
N001069,N001125,9676.618
N001069,N004003,4887.028
N001070,N001168,3995.728
N001070,N001165,93.966
N001070,N001156,1238.764
N001070,N001195,3172.203
N001071,N002867,3012.783
N001071,N002855,3630.368
N001071,N002783,2277.819
N001071,N002735,3926.77
N001071,N001171,546.049
N001071,N001073,1797.214
N001071,N001121,1130.368
N001072,N001117,2333.894
N001072,N001088,6486.908
N001073,N001171,5508.818
N001073,N001094,2456.635
N001073,N001121,340.971
N001073,N001179,5490.689
N001074,N001105,2425.565
N001074,N001174,2014.671
N001074,N001175,2976.427
N001074,N001127,630.831
N001075,N001104,3025.147
N001075,N001081,10887.558
N001076,N001131,6242.201
N001076,N001134,4469.306
N001076,N001128,931.044
N001076,N001180,2737.721
N001077,N001102,1932.87
N001077,N001177,3259.188
N001077,N001119,4764.083
N001077,N001107,14578.468
N001078,N001179,7539.267
N001078,N001178,4558.78
N001078,N004002,136.928
N001078,N001101,6239.559
N001078,N001079,2466.478
N001078,N004009,1520.989
N001079,N001178,5118.096
N001079,N001128,11665.494
N001079,N004009,3010.126
N001079,N004007,3729.267
N001079,N004050,5753.597
N001079,N001180,993.175
N001080,N004041,2520.65
N001080,N004042,218.495
N001080,N004045,866.33
N001080,N001186,2734.579
N001080,N001081,4943.616
N001081,N001104,4368.155
N001081,N001186,9604.556
N001081,N001122,1897.391
N001082,N001096,2624.036
N001082,N001113,9657.473
N001082,N001118,7570.593
N001082,N001141,13390.932
N001083,N001103,923.855
N001083,N001164,8179.004
N001084,N001120,3190.147
N001084,N001106,7526.866
N001084,N001142,7011.482
N001085,N001159,513.324
N001085,N001124,3697.172
N001085,N001138,1427.013
N001085,N001160,2309.334
N001086,N001114,6957.547
N001086,N001096,1525.128
N001086,N001108,1832.657
N001087,N001135,2110.977
N001087,N001123,2820.397
N001087,N001164,766.973
N001088,N001117,702.606
N001088,N001100,3341.512
N001088,N001089,4497.21
N001088,N001095,889.699
N001089,N001192,6258.626
N001089,N001095,3352.863
N001090,N001147,9497.728
N001090,N004010,3883.61
N001090,N004052,1209.953
N001091,N001155,5620.881
N001091,N002618,2028.522
N001091,N002582,3561.548
N001091,N002623,3536.807
N001091,N001182,6374.485
N001091,N001140,7792.347
N001092,N001095,72.993
N001092,N001120,6664.658
N001092,N001187,6041.386
N001092,N001154,3470.007
N001092,N001107,4434.651
N001092,N001183,11411.941
N001093,N001153,3891.22
N001094,N002779,9889.768
N001094,N001171,1579.898
N001094,N001163,3996.297
N001094,N001178,2381.302
N001095,N001100,1488.531
N001095,N001192,8922.547
N001095,N001189,2641.597
N001095,N001129,9971.012
N001096,N001107,4684.429
N001096,N001114,4737.814
N001096,N001196,3694.312
N001096,N001113,6110.592
N001096,N001118,7121.31
N001097,N001179,1756.169
N001097,N001152,3687.661
N001097,N001151,5013.712
N001098,N004003,1611.376
N001098,N001191,2529.548
N001098,N004048,86.328
N001098,N004056,3747.282
N001098,N001186,2388.321
N001098,N001122,5278.918
N001099,N001141,4506.626
N001100,N001117,5786.189
N001101,N001179,5722.256
N001101,N004009,967.257
N001101,N001151,601.861
N001101,N001116,1347.193
N001101,N001147,4093.951
N001101,N004010,4831.937
N001101,N004052,1341.346
N001102,N001145,3182.067
N001102,N001112,1861.433
N001103,N001123,3103.761
N001103,N001164,10324.229
N001104,N001130,11190.12
N001105,N001190,2496.683
N001105,N001161,3222.984
N001105,N001158,1013.442
N001105,N001176,5786.886
N001105,N001175,247.068
N001106,N001120,6888.962
N001106,N001118,11862.124
N001107,N001154,128.164
N001107,N001177,6102.863
N001107,N001119,8962.859
N001107,N001114,2963.143
N001107,N001183,4041.687
N001107,N001196,4858.01
N001109,N001182,409.219
N001109,N001126,4202.002
N001109,N001193,4716.652
N001109,N001166,8417.059
N001110,N001112,2346.379
N001111,N001132,3925.746
N001111,N001172,468.112
N001111,N001184,2318.034
N001111,N001194,3133.241
N001111,N001117,4886.452
N001111,N001167,878.2
N001111,N001139,3194.062
N001112,N001154,661.831
N001112,N001177,2586.776
N001113,N001118,20040.253
N001114,N001119,1384.254
N001114,N001130,2728.147
N001115,N001510,2322.041
N001115,N001543,6109.101
N001115,N001491,3384.789
N001115,N001175,5642.691
N001115,N001127,4631.43
N001115,N001134,5573.18
N001115,N001157,6233.711
N001115,N001137,3980.979
N001116,N001151,4521.532
N001116,N001145,6588.814
N001116,N001147,1833.717
N001117,N001184,4070.942
N001118,N001197,4029.125
N001118,N001120,1122.888
N001118,N001183,5698.253
N001118,N001196,6432.291
N001119,N001147,1132.349
N001119,N001130,9921.767
N001120,N001197,1566.269
N001120,N001187,6427.257
N001120,N001183,5149.847
N001121,N002783,3067.506
N001121,N001162,1888.037
N001121,N001179,10363.754
N001121,N001152,4003.048
N001122,N001186,2228.649
N001123,N001135,7965.587
N001123,N001164,92.202
N001124,N001166,7050.421
N001124,N001159,2838.936
N001124,N001135,882.255
N001124,N001138,4702.339
N001125,N001481,6786.954
N001125,N004004,1206.729
N001126,N001182,8738.686
N001127,N001174,1271.861
N001127,N001175,4626.711
N001127,N001131,3863.566
N001127,N001134,2884.867
N001128,N001131,3407.52
N001128,N001178,1801.497
N001128,N001180,4644.384
N001129,N001170,3827.312
N001129,N001189,4481.435
N001129,N001153,2519.388
N001131,N001163,803.707
N001131,N001143,8521.23
N001131,N001174,3886.399
N001131,N001134,3060.009
N001131,N001178,1540.49
N001132,N002597,1169.192
N001132,N001185,1231.352
N001132,N001172,10972.762
N001132,N001194,3971.577
N001133,N001173,5989.947
N001133,N001148,4233.822
N001134,N001180,1302.111
N001134,N001137,4607.7
N001135,N001166,5330.532
N001135,N001138,6032.31
N001137,N001180,9282.497
N001139,N001167,3679.226
N001140,N001182,7060.264
N001140,N001166,3882.219
N001140,N001159,6475.835
N001143,N001163,7435.665
N001143,N002736,2195.516
N001143,N001174,5295.776
N001144,N001169,5373.165
N001144,N001173,5871.161
N001144,N001148,1720.617
N001144,N001172,1427.062
N001145,N001151,3454.458
N001145,N001147,3549.733
N001146,N002539,4521.615
N001146,N002585,2408.008
N001146,N002597,6186.107
N001146,N002614,5495.97
N001146,N002477,2277.123
N001146,N001188,4547.996
N001147,N004052,4210.177
N001148,N001173,189.485
N001149,N002758,2123.301
N001149,N002730,3094.21
N001149,N001169,3233.445
N001149,N001185,3553.039
N001149,N001172,635.502
N001150,N002785,1500.071
N001150,N002868,1446.926
N001150,N001169,7179.641
N001150,N001162,7653.745
N001151,N001179,3935.31
N001152,N001179,1699.57
N001153,N001170,7587.444
N001154,N001177,1772.524
N001155,N002614,4090.387
N001155,N002661,1503.139
N001156,N002600,2868.907
N001156,N001168,2170.305
N001156,N001195,3551.795
N001157,N001543,3955.973
N001157,N001489,3835.558
N001158,N001190,2508.905
N001158,N002736,3783.018
N001159,N001166,1471.082
N001161,N001190,5890.252
N001161,N001531,5921.243
N001161,N001486,1904.473
N001161,N001176,119.827
N001162,N002785,119.35
N001162,N002783,5352.714
N001163,N002779,2149.403
N001163,N002796,5315.516
N001163,N002736,7233.902
N001163,N001178,2217.168
N001165,N001193,4340.067
N001165,N001166,3071.628
N001165,N001195,2877.236
N001165,N001181,6602.515
N001166,N001182,1692.911
N001166,N001193,2658.443
N001167,N001173,2582.483
N001167,N001172,3180.732
N001168,N002481,9670.304
N001168,N002600,1253.38
N001169,N002730,2239.542
N001169,N002868,4283.102
N001169,N001172,7228.39
N001170,N001189,3668.865
N001171,N002779,4717.852
N001171,N002735,4061.526
N001172,N001173,3507.833
N001172,N001185,8727.526
N001172,N001194,2492.77
N001175,N001176,6785.751
N001175,N001491,3371.898
N001176,N001486,4792.646
N001176,N001491,8212.698
N001180,N004050,3954.657
N001180,N004004,3778.521
N001181,N001195,4549.041
N001182,N002520,229.094
N001182,N002623,2692.09
N001182,N002647,3383.199
N001183,N001197,681.551
N001183,N001196,2249.563
N001185,N002597,560.354
N001185,N002758,9147.272
N001186,N004045,3822.792
N001186,N004055,1078.862
N001186,N004056,2080.197
N001190,N002688,2737.345
N001190,N001531,1763.395
N001191,N004003,4281.517
N001198,N001272,1439.617
N001198,N001238,10235.253
N001198,N001200,10144.232
N001199,N001208,4758.783
N001199,N001204,3862.31
N001199,N001250,5420.01
N001200,N001272,3600.895
N001200,N001275,7705.184
N001200,N001255,5866.018
N001201,N001278,12770.222
N001201,N001251,6182.469
N001201,N001206,13623.425
N001201,N001210,7388.599
N001202,N001249,16689.893
N001202,N001234,30247.285
N001202,N004116,3536.512
N001202,N001226,25827.253
N001202,N001273,4631.163
N001202,N001224,1626.669
N001202,N001268,3534.287
N001203,N001251,4380.418
N001203,N001209,3144.556
N001203,N001262,7241.018
N001203,N001260,590.452
N001203,N001259,6836.778
N001203,N001220,1319.19
N001203,N001265,2331.998
N001203,N001236,7299.067
N001204,N001208,3617.845
N001204,N001250,3092.604
N001204,N001212,2955.69
N001205,N001242,10469.23
N001205,N001270,2923.178
N001205,N001208,5303.937
N001206,N001270,2686.965
N001206,N001245,7638.409
N001206,N001246,6150.687
N001206,N001278,2997.782
N001206,N001221,3625.92
N001206,N001210,1235.212
N001206,N001276,7091.788
N001206,N001263,8276.158
N001206,N001260,2907.964
N001206,N001220,11629.496
N001206,N001267,3694.753
N001206,N001215,5689.666
N001207,N001251,6714.369
N001207,N001210,2432.756
N001207,N001260,4105.157
N001208,N001270,3579.018
N001208,N001245,4306.387
N001208,N001276,681.326
N001208,N001212,4439.421
N001209,N001251,14615.292
N001209,N001262,15191.885
N001210,N001251,6929.351
N001210,N001260,4824.84
N001211,N004063,8865.543
N001211,N001228,12414.949
N001212,N001250,4272.467
N001212,N001276,6205.969
N001212,N001237,221.492
N001212,N001233,10588.347
N001212,N001223,1491.994
N001213,N001271,12253.633
N001213,N001239,7451.499
N001213,N001214,11090.39
N001214,N001239,4227.202
N001214,N001278,12939.592
N001214,N001251,3137.715
N001215,N001263,843.163
N001215,N001240,6344.449
N001215,N001220,6712.33
N001215,N001267,11316.339
N001215,N001232,11484.843
N001215,N001225,3895.572
N001215,N001261,6773.465
N001215,N001231,466.963
N001216,N001247,521.845
N001216,N001231,15465.049
N001216,N004094,7545.321
N001216,N004101,3773.04
N001216,N001249,2307.865
N001216,N004061,7173.157
N001217,N001234,6961.86
N001217,N001456,20999.531
N001217,N001268,14187.204
N001218,N001237,7427.383
N001218,N001233,5458.912
N001218,N001257,9398.106
N001218,N001240,1708.272
N001218,N001235,6774.953
N001219,N001273,12839.801
N001219,N001224,8080.856
N001219,N001258,10437.142
N001220,N001260,7627.517
N001220,N001265,14154.91
N001220,N001232,5883.288
N001221,N001244,6379.056
N001221,N001246,7293.103
N001221,N001278,18920.132
N001222,N001255,9021.884
N001222,N001253,2729.309
N001222,N002269,6296.125
N001222,N002244,7900.867
N001222,N002230,4263.128
N001223,N001276,5587.218
N001223,N001233,8128.979
N001223,N001263,10066.199
N001223,N001240,4094.225
N001224,N001226,10708.417
N001224,N001273,9746.445
N001224,N001229,9827.315
N001224,N001258,8868.504
N001225,N001240,4096.21
N001225,N001235,10842.184
N001225,N001261,5034.647
N001225,N001247,3416.574
N001225,N004067,83.45
N001225,N004059,1881.31
N001226,N004118,4312.805
N001226,N004116,3215.582
