plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,pop_deviation_pct,bp_keruletek
eredeti_oevk,GYŐR-MOSON-SOPRON,74095.0,22991.0,33409.0,40.764,59.236,-18.472,False,0.1749,5.171,
eredeti_oevk,GYŐR-MOSON-SOPRON,66632.0,26240.0,24570.0,51.643,48.357,3.287,True,0.2272,-5.422,
eredeti_oevk,GYŐR-MOSON-SOPRON,75117.0,24764.0,33069.0,42.82,57.18,-14.36,False,0.2222,6.622,
eredeti_oevk,GYŐR-MOSON-SOPRON,78546.0,25474.0,34091.0,42.767,57.233,-14.467,False,0.3648,11.489,
eredeti_oevk,HAJDÚ-BIHAR,59669.0,15717.0,30505.0,34.003,65.997,-31.993,False,0.3883,-7.433,
eredeti_oevk,HAJDÚ-BIHAR,54695.0,14478.0,25422.0,36.286,63.714,-27.429,False,0.4243,-15.149,
eredeti_oevk,HAJDÚ-BIHAR,68932.0,21133.0,24499.0,46.312,53.688,-7.376,False,0.2053,6.938,
eredeti_oevk,HAJDÚ-BIHAR,67070.0,22250.0,21380.0,50.997,49.003,1.994,True,0.3577,4.049,
eredeti_oevk,HAJDÚ-BIHAR,68301.0,21458.0,25760.0,45.445,54.555,-9.111,False,0.3073,5.959,
eredeti_oevk,HAJDÚ-BIHAR,68093.0,19557.0,26996.0,42.01,57.99,-15.98,False,0.3704,5.636,
eredeti_oevk,HEVES,79000.0,22631.0,34983.0,39.28,60.72,-21.439,False,0.2719,2.438,
eredeti_oevk,HEVES,74007.0,22258.0,30080.0,42.527,57.473,-14.945,False,0.1989,-4.036,
eredeti_oevk,HEVES,78352.0,23847.0,30511.0,43.87,56.13,-12.259,False,0.1631,1.598,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,74779.0,18934.0,35137.0,35.017,64.983,-29.966,False,0.214,3.89,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,69530.0,21662.0,26530.0,44.949,55.051,-10.101,False,0.3057,-3.402,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,72187.0,23947.0,24314.0,49.62,50.38,-0.76,False,0.3513,0.289,
eredeti_oevk,JÁSZ-NAGYKUN-SZOLNOK,71419.0,19359.0,28610.0,40.357,59.643,-19.285,False,0.2363,-0.778,
eredeti_oevk,KOMÁROM-ESZTERGOM,77400.0,19882.0,36824.0,35.062,64.938,-29.877,False,0.2734,-2.969,
eredeti_oevk,KOMÁROM-ESZTERGOM,80817.0,22002.0,36091.0,37.874,62.126,-24.252,False,0.4263,1.315,
eredeti_oevk,KOMÁROM-ESZTERGOM,81087.0,25029.0,33373.0,42.856,57.144,-14.287,False,0.2552,1.654,
eredeti_oevk,NÓGRÁD,71832.0,21702.0,27194.0,44.384,55.616,-11.232,False,0.1914,-3.505,
eredeti_oevk,NÓGRÁD,77051.0,26014.0,26373.0,49.657,50.343,-0.685,False,0.1964,3.505,
eredeti_oevk,PEST,79671.0,21061.0,40106.0,34.432,65.568,-31.136,False,0.532,5.393,
eredeti_oevk,PEST,77871.0,19539.0,41804.0,31.852,68.148,-36.296,False,0.2929,3.012,
eredeti_oevk,PEST,81963.0,23197.0,40049.0,36.677,63.323,-26.645,False,0.2381,8.425,
eredeti_oevk,PEST,76341.0,23139.0,35408.0,39.522,60.478,-20.956,False,0.2995,0.988,
eredeti_oevk,PEST,75965.0,18743.0,41346.0,31.192,68.808,-37.616,False,0.4103,0.491,
eredeti_oevk,PEST,76890.0,20556.0,40117.0,33.88,66.12,-32.24,False,0.5576,1.715,
eredeti_oevk,PEST,76365.0,23289.0,32691.0,41.602,58.398,-16.795,False,0.3852,1.02,
eredeti_oevk,PEST,70425.0,18666.0,33910.0,35.503,64.497,-28.994,False,0.4088,-6.838,
eredeti_oevk,PEST,76078.0,22473.0,32706.0,40.727,59.273,-18.545,False,0.3799,0.64,
eredeti_oevk,PEST,74474.0,18151.0,37903.0,32.381,67.619,-35.237,False,0.3897,-1.481,
eredeti_oevk,PEST,74824.0,22738.0,33838.0,40.19,59.81,-19.62,False,0.4502,-1.018,
eredeti_oevk,PEST,73910.0,22613.0,28090.0,44.599,55.401,-10.802,False,0.3689,-2.228,
eredeti_oevk,PEST,70090.0,21739.0,27417.0,44.225,55.775,-11.551,False,0.453,-7.281,
eredeti_oevk,PEST,73447.0,22122.0,28795.0,43.447,56.553,-13.106,False,0.5462,-2.84,
eredeti_oevk,SOMOGY,59107.0,16120.0,27009.0,37.376,62.624,-25.248,False,0.292,-1.737,
eredeti_oevk,SOMOGY,57032.0,18031.0,20242.0,47.112,52.888,-5.777,False,0.1806,-5.187,
eredeti_oevk,SOMOGY,60980.0,20698.0,22538.0,47.872,52.128,-4.256,False,0.3915,1.377,
eredeti_oevk,SOMOGY,63489.0,20458.0,25736.0,44.287,55.713,-11.426,False,0.3199,5.548,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,67980.0,16671.0,34756.0,32.417,67.583,-35.166,False,0.3547,-3.714,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,68667.0,20048.0,26485.0,43.083,56.917,-13.833,False,0.2249,-2.741,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,75646.0,23942.0,28097.0,46.008,53.992,-7.984,False,0.2556,7.144,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70012.0,25840.0,20874.0,55.315,44.685,10.631,True,0.1914,-0.836,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70903.0,25593.0,21893.0,53.896,46.104,7.792,True,0.1991,0.426,
eredeti_oevk,SZABOLCS-SZATMÁR-BEREG,70407.0,24759.0,23945.0,50.836,49.164,1.671,True,0.2571,-0.277,
eredeti_oevk,TOLNA,57093.0,17908.0,22758.0,44.037,55.963,-11.926,False,0.3036,0.659,
eredeti_oevk,TOLNA,56292.0,18641.0,19960.0,48.291,51.709,-3.417,False,0.1462,-0.753,
eredeti_oevk,TOLNA,56773.0,19344.0,20766.0,48.227,51.773,-3.545,False,0.1737,0.095,
eredeti_oevk,VAS,67196.0,20953.0,31379.0,40.039,59.961,-19.923,False,0.3035,1.276,
eredeti_oevk,VAS,66913.0,24762.0,26420.0,48.38,51.62,-3.239,False,0.2157,0.849,
eredeti_oevk,VAS,64940.0,25830.0,22982.0,52.917,47.083,5.835,True,0.1598,-2.125,
eredeti_oevk,VESZPRÉM,68896.0,18465.0,33445.0,35.571,64.429,-28.858,False,0.2429,0.437,
eredeti_oevk,VESZPRÉM,73584.0,20742.0,34018.0,37.878,62.122,-24.244,False,0.2379,7.272,
eredeti_oevk,VESZPRÉM,65381.0,20131.0,27847.0,41.959,58.041,-16.082,False,0.2542,-4.687,
eredeti_oevk,VESZPRÉM,66523.0,22843.0,24978.0,47.768,52.232,-4.465,False,0.1904,-3.022,
eredeti_oevk,ZALA,72857.0,23786.0,31667.0,42.894,57.106,-14.212,False,0.3363,1.608,
eredeti_oevk,ZALA,72849.0,25288.0,28032.0,47.427,52.573,-5.146,False,0.3273,1.596,
eredeti_oevk,ZALA,69407.0,20481.0,29869.0,40.677,59.323,-18.645,False,0.264,-3.204,
szimulalt_recom,BÁCS-KISKUN,65022.0,17221.0,27602.0,38.42,61.58,-23.16,False,0.2977,-1.13,
szimulalt_recom,BÁCS-KISKUN,66185.0,18943.0,25691.0,42.441,57.559,-15.119,False,0.2021,0.639,
szimulalt_recom,BÁCS-KISKUN,65946.0,22595.0,22120.0,50.531,49.469,1.062,True,0.224,0.275,
szimulalt_recom,BÁCS-KISKUN,61001.0,20988.0,20473.0,50.621,49.379,1.242,True,0.3784,-7.244,
szimulalt_recom,BÁCS-KISKUN,68110.0,17566.0,33454.0,34.43,65.57,-31.141,False,0.2636,3.566,
szimulalt_recom,BÁCS-KISKUN,68326.0,20882.0,28028.0,42.695,57.305,-14.611,False,0.2733,3.894,
szimulalt_recom,BARANYA,69212.0,15887.0,35606.0,30.853,69.147,-38.295,False,0.3263,-1.154,
szimulalt_recom,BARANYA,71614.0,17281.0,31122.0,35.702,64.298,-28.595,False,0.2903,2.277,
