plan,target_col,opponent_col,districts,target_seats,opponent_seats,target_vote_share_pct,opponent_vote_share_pct,avg_margin_pct,median_margin_pct,avg_abs_margin_pct,avg_polsby_popper,avg_pop_deviation_abs_pct,target_seat_delta_vs_original
eredeti_oevk,fidesz_szavazat,tisza_szavazat,106,7,99,39.822,60.178,-20.035,-18.582,20.642,0.3064,4.375,0
szimulalt_recom,fidesz_szavazat,tisza_szavazat,106,20,86,39.822,60.178,-19.886,-21.483,20.522,0.3107,2.922,13
