plan,target_col,opponent_col,districts,target_seats,opponent_seats,target_vote_share_pct,opponent_vote_share_pct,avg_margin_pct,median_margin_pct,avg_abs_margin_pct,avg_polsby_popper,avg_pop_deviation_abs_pct,target_seat_delta_vs_original
eredeti_oevk,tisza_szavazat,fidesz_szavazat,6,3,3,53.277,46.723,6.148,3.156,12.846,0.2471,2.523,0
szimulalt_recom,tisza_szavazat,fidesz_szavazat,6,5,1,53.277,46.723,6.363,5.463,10.731,0.2066,1.046,2
