telepules,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
Edelény,7026,5233,5117,2090,2483
Edve,89,82,81,41,30
Eger,41637,34873,34750,10670,21258
Egeralja,189,162,157,106,38
Egeraracsa,239,176,176,77,89
Egerbakta,1143,869,864,523,288
Egerbocs,420,324,323,149,126
Egercsehi,987,688,679,279,352
Egerfarmos,521,369,365,163,177
Egerlövő,410,352,350,158,178
Egerszalók,1510,1228,1222,476,644
Egerszólát,815,697,695,242,386
Egervár,789,655,654,335,269
Egervölgy,282,203,200,112,70
Egerág,761,625,625,221,338
Egyed,418,356,356,191,129
Egyek,3813,2546,2520,1323,1003
Egyházasdengeleg,315,250,243,96,120
Egyházasfalu,707,589,585,329,209
Egyházasgerge,529,368,363,214,132
Egyházasharaszti,250,179,179,106,64
Egyházashetye,232,195,194,125,56
Egyházashollós,438,357,357,218,106
Egyházaskesző,379,270,269,118,135
Egyházaskozár,551,405,403,136,210
Egyházasrádóc,1045,908,898,458,363
Elek,3429,2467,2444,1097,1091
Ellend,173,133,132,49,70
Előszállás,1771,1314,1306,602,563
Emőd,3845,2793,2777,1041,1500
Encs,4489,3325,3290,1534,1523
Encsencs,1342,925,910,634,227
Endrefalva,861,575,559,361,129
Endrőc,279,187,178,79,77
Enese,1439,1231,1222,529,605
Enying,5084,3712,3680,1610,1629
Eperjes,342,253,250,127,109
Eperjeske,799,528,514,306,169
Eplény,452,394,394,151,205
Epöl,490,419,419,225,161
Ercsi,6274,4739,4695,1935,2328
Erdőbénye,790,564,563,265,244
Erdőhorváti,392,288,285,127,124
Erdőkertes,7529,6042,6013,2026,3431
Erdőkövesd,459,339,338,166,145
Erdőkürt,418,343,338,145,151
Erdősmecske,270,199,185,109,53
Erdősmárok,56,46,45,24,17
Erdőtarcsa,422,299,294,144,96
Erdőtelek,2492,1616,1577,773,609
Erk,636,407,398,246,135
Erzsébet,218,160,158,47,89
Eszteregnye,505,415,414,167,212
Esztergom,23963,19406,19295,6648,11042
Esztergályhorváti,328,223,213,75,109
Esztár,1043,754,739,416,277
Ete,458,378,377,192,136
Etes,996,638,635,293,295
Etyek,3520,2987,2974,1007,1695
Fadd,3076,2288,2270,1123,946
Fajsz,1233,887,877,384,403
Fancsal,221,189,182,74,94
Farkasgyepű,316,262,257,69,156
Farkaslyuk,1198,716,681,401,196
Farmos,2766,2066,2059,878,981
Farád,1530,1310,1308,699,527
Fazekasboda,145,102,98,39,32
Fedémes,226,181,181,104,59
Fegyvernek,4833,3335,3302,1266,1736
Fehérgyarmat,5657,4421,4368,1809,2293
Fehértó,357,300,299,151,127
Fehérvárcsurgó,1709,1440,1438,586,697
Feked,149,134,132,39,57
Feketeerdő,443,399,398,143,204
Felcsút,1455,1247,1236,650,504
Feldebrő,778,585,579,246,281
Felgyő,867,690,687,300,320
Felpéc,768,630,627,257,315
Felsőberecki,205,153,153,62,83
Felsőcsatár,394,340,339,137,151
Felsődobsza,645,408,393,174,155
Felsőegerszeg,100,81,80,34,41
Felsőgagy,155,78,76,18,54
Felsőjánosfa,148,136,136,76,48
Felsőkelecsény,294,193,189,80,102
Felsőlajos,777,599,594,274,257
Felsőmarác,204,184,184,99,65
Felsőmocsolád,255,181,181,85,86
Felsőnyárád,771,597,592,193,347
Felsőnyék,791,562,559,355,177
Felsőnána,437,335,335,163,141
Felsőpakony,2941,2411,2406,885,1266
Felsőpetény,457,392,390,218,130
Felsőpáhok,543,460,458,196,226
Felsőrajk,573,445,439,218,194
Felsőregmec,198,110,109,85,17
Felsőszenterzsébet,14,14,14,3,10
Felsőszentiván,1430,1065,1057,429,537
Felsőszentmárton,619,467,459,218,140
Felsőszölnök,439,349,344,173,104
Felsőtelekes,492,315,311,182,120
Felsőtold,112,84,83,30,47
Felsőtárkány,2671,2263,2254,815,1260
Felsővadász,362,244,229,147,48
Felsőzsolca,5055,3843,3816,1354,2100
Felsőörs,1538,1364,1361,449,779
Fenyőfő,67,56,56,24,26
Ferencszállás,511,409,407,109,262
Fertőboz,242,205,204,78,108
Fertőd,2544,2173,2165,968,988
Fertőendréd,498,428,425,221,160
Fertőhomok,698,603,602,244,310
Fertőrákos,1839,1494,1487,506,785
Fertőszentmiklós,3053,2676,2670,1232,1202
Fertőszéplak,1096,946,943,381,478
Fiad,82,56,56,30,24
Filkeháza,59,50,50,34,12
Fityeház,504,405,403,191,175
Foktő,1109,866,859,288,491
Folyás,222,161,158,61,84
Fony,209,157,156,81,61
Fonyód,3939,3185,3176,1213,1680
Fonó,248,168,167,71,82
