plan,target_col,opponent_col,districts,target_seats,opponent_seats,target_vote_share_pct,opponent_vote_share_pct,avg_margin_pct,median_margin_pct,avg_abs_margin_pct,avg_polsby_popper,avg_pop_deviation_abs_pct,target_seat_delta_vs_original
eredeti_oevk,tisza_szavazat,fidesz_szavazat,106,99,7,60.178,39.822,20.035,18.582,20.642,0.3064,4.375,0
szimulalt_recom,tisza_szavazat,fidesz_szavazat,106,104,2,60.178,39.822,19.975,18.113,20.387,0.2944,4.23,5
